,"Trans Date and
Time",Value Date,Transaction Details,"Ref/Cheque
No",Debit,Credit,Balance,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,"Trans Date and
Value Date
Time","Ref/Cheque
Debit
Credit
Balance
No",Unnamed: 6
9,14/03/21 12:48,14/03/21,"ATM-NFS/CASH WITHDRAWAL/PEER
MUCH/107312022559",,"1,000.00",,"16,136.41Cr",,,,,,,,,
10,14/03/21 15:11,14/03/21,POS-VISA/www.airtel.in/107309506861,,"2,000.00",,"14,136.41Cr",,,,,,,,,
11,14/03/21 18:47,14/03/21,UPI/MOB/107318653192/UPI,,20.00,,"14,116.41Cr",,,,,,,,,
12,15/03/21 10:22,15/03/21,UPI/MOB/107410273236/Hardik Trip,,,"20,000.00","34,116.41Cr",,,,,,,,,
13,15/03/21 11:04,15/03/21,UPI/MOB/107411266621/Upi Transaction,,"1,000.00",,"33,116.41Cr",,,,,,,,,
14,15/03/21 11:06,15/03/21,UPI/MOB/107411489271/Pay,,"2,590.00",,"30,526.41Cr",,,,,,,,,
15,15/03/21 17:22,15/03/21,"POS-VISA/MAKEMYTRIP INDIA PVT LNEW
DELH/1074118862",,"6,929.00",,"23,597.41Cr",,,,,,,,,
16,15/03/21 17:51,15/03/21,"POS-VISA/KRISHAN KUMAR
GARG/107417752610",,900.00,,"22,697.41Cr",,,,,,,,,
17,15/03/21 18:37,15/03/21,UPI/MOB/107418025328/UPI,,500.00,,"22,197.41Cr",,,,,,,,,
18,15/03/21 22:04,15/03/21,UPI/MOB/107422063329/UPI,,480.00,,"21,717.41Cr",,,,,,,,,
19,16/03/21 11:26,16/03/21,"UPI/MOB/107511201265/jassal daily needs
payment dh",,"2,688.00",,"19,029.41Cr",,,,,,,,,
20,16/03/21 13:10,16/03/21,UPI/MOB/107513190468/UPI,,,"20,000.00","39,029.41Cr",,,,,,,,,
21,16/03/21 14:01,16/03/21,UPI/MOB/107514120331/UPI,,800.00,,"38,229.41Cr",,,,,,,,,
22,16/03/21 15:33,16/03/21,"IMPS-MOB/Fund
Trf/107515703922/34116625/15708780395
2/",,,"29,290.00","67,519.41Cr",,,,,,,,,
23,16/03/21 21:18,16/03/21,"UPI/MOB/107521361683/BhartiAirtelServic
esLimitedOR",,450.00,,"67,069.41Cr",,,,,,,,,
24,17/03/21 11:35,17/03/21,UPI/MOB/107611218970/UPI Transaction,,"1,000.00",,"66,069.41Cr",,,,,,,,,
0,17/03/21 16:43,17/03/21,"UPI/MOB/107616027143/ZomatoOnlineOrd
er",,95.00,,"65,974.41Cr",,,,,,,,,
1,17/03/21 18:38,17/03/21,"POS-VISA/KRISHAN KUMAR
GARG/107618113206",,150.00,,"65,824.41Cr",,,,,,,,,
2,17/03/21 20:00,17/03/21,"UPI/MOB/107620628880/UPI Transaction
for 78258532",,"2,726.00",,"63,098.41Cr",,,,,,,,,
3,17/03/21 20:30,17/03/21,"POS-VISA/KRISHAN KUMAR
GARG/107620230091",,900.00,,"62,198.41Cr",,,,,,,,,
4,17/03/21 20:36,17/03/21,"ATM-NFS/CASH WITHDRAWAL/SEC-20
PA/107620010874",,"10,000.00",,"52,198.41Cr",,,,,,,,,
5,18/03/21 17:14,18/03/21,"IMPS-RIB/Fund Trf/107717760466/lav
gupta/157087803952INDB/",,"23,000.00",,"29,198.41Cr",,,,,,,,,
6,18/03/21 17:17,18/03/21,"IMPS-RIB/Fund Trf/107717761122/lav
gupta/157087803952INDB/",,"25,000.00",,"4,198.41Cr",,,,,,,,,
7,18/03/21 19:51,18/03/21,"UPI/MOB/107719946915/ZomatoOnlineOrd
er",,256.25,,"3,942.16Cr",,,,,,,,,
8,19/03/21 14:23,19/03/21,"IMPS-MOB/Fund
Trf/107814144559/34116625/15708780395
2/",,,"195,000.00","198,942.16Cr",,,,,,,,,
9,19/03/21 16:37,19/03/21,"UPI/MOB/107816034432/collect-pay-
request",,"16,749.00",,"182,193.16Cr",,,,,,,,,
10,19/03/21 16:52,19/03/21,"IMPS-RIB/Fund Trf/107816914313/lav
gupta/157087803952INDB/",,50.00,,"182,143.16Cr",,,,,,,,,
11,19/03/21 17:56,19/03/21,UPI/MOB/107817803441/UPI,,"1,100.00",,"181,043.16Cr",,,,,,,,,
12,19/03/21 19:14,19/03/21,"POS-VISA/HPCL ADHOC TRUCK SUPP
PANCHKUL/1078136528",,992.50,,"180,050.66Cr",,,,,,,,,
13,19/03/21 19:55,19/03/21,UPI/MOB/107819202496/UPI,,300.00,,"179,750.66Cr",,,,,,,,,
14,19/03/21 23:03,19/03/21,UPI/MOB/107823452232/UPI,,330.00,,"179,420.66Cr",,,,,,,,,
15,20/03/21 11:50,20/03/21,"POS-VISA/WHISPERING
WINDS/107906035562",,"2,500.00",,"176,920.66Cr",,,,,,,,,
16,20/03/21 12:57,20/03/21,UPI/MOB/107912374077/Upi Transaction,,"1,000.00",,"175,920.66Cr",,,,,,,,,
17,20/03/21 15:33,20/03/21,"UPI/MOB/107915727800/cable march 8b
aastha city",,380.00,,"175,540.66Cr",,,,,,,,,
18,20/03/21 17:32,20/03/21,"UPI/MOB/107917343324/collect-pay-
request",,"15,000.00",,"160,540.66Cr",,,,,,,,,
19,20/03/21 17:34,20/03/21,"UPI/MOB/107917365725/collect-pay-
request",,"13,215.00",,"147,325.66Cr",,,,,,,,,
20,20/03/21 18:49,20/03/21,"POS-VISA/KRISHAN KUMAR
GARG/107918202349",,150.00,,"147,175.66Cr",,,,,,,,,
21,20/03/21 20:58,20/03/21,UPI/MOB/107920290382/Hotstar,,399.00,,"146,776.66Cr",,,,,,,,,
0,,,,,,,,,,,,,,,,
1,,,UPI/MOB/108010717672/Upi Transaction,,,,,,21/03/21,,,"1,000.00",,21/03/21 10:40,,"145,776.66Cr"
2,,,UPI/MOB/108012210088/UPI,,,,,,21/03/21,,,"1,250.00",,21/03/21 12:27,,"144,526.66Cr"
3,,,UPI/MOB/108012528947/UPI,,,,,,21/03/21,,,680.00,,21/03/21 12:41,,"143,846.66Cr"
4,,,"POS-VISA/SPARKLE EXPORTS INDL
ACHANDIGA/1080075167",,,,,,21/03/21,,,"3,000.00",,21/03/21 12:53,,"140,846.66Cr"
5,,,UPI/MOB/108014410543/UPI,,,,,,21/03/21,,,500.00,,21/03/21 14:07,,"140,346.66Cr"
6,,,"POS-VISA/KRISHAN KUMAR
GARG/108014719255",,,,,,21/03/21,,,320.00,,21/03/21 14:21,,"140,026.66Cr"
7,,,UPI/MOB/108018241385/UPI,,,,,,21/03/21,,,400.00,,21/03/21 18:16,,"139,626.66Cr"
8,,,UPI/MOB/108018760349/UPI,,,,,,21/03/21,,,310.00,,21/03/21 18:39,,"139,316.66Cr"
9,,,"POS-VISA/PAYU-
airtel66/P&L/108107251344",,,,,,22/03/21,,,905.98,,22/03/21 13:13,,"138,410.68Cr"
10,,,UPI/MOB/108113677122/UPI,,,,,,22/03/21,,,100.00,,22/03/21 13:46,,"138,310.68Cr"
11,,,"POS-VISA/P362
PANTALOONS/108109700151",,,,,,22/03/21,,,"2,845.00",,22/03/21 14:35,,"135,465.68Cr"
12,,,POS-VISA/WESTSIDE./108109252576,,,,,,22/03/21,,,"4,646.00",,22/03/21 14:53,,"130,819.68Cr"
13,,,"ATM-NFS/CASH
WITHDRAWAL/INDUSIND/108115005613",,,,,,22/03/21,,,"1,000.00",,22/03/21 15:03,,"129,819.68Cr"
14,,,"POS-VISA/CITCO PETROL
STATION/108110031510",,,,,,22/03/21,,,"2,799.46",,22/03/21 15:55,,"127,020.22Cr"
15,,,UPI/MOB/108118860744/UPI,,,,,,22/03/21,,,20.00,,22/03/21 18:43,,"127,000.22Cr"
16,,,UPI/MOB/108215587028/UPI,,,,,,23/03/21,,,"3,889.77",,23/03/21 15:44,,"123,110.45Cr"
17,,,"IMPS-MOB/Fund
Trf/108215841527/34116625/15708780395
2/",,,,,,23/03/21,,,,"48,175.00",23/03/21 15:46,,"171,285.45Cr"
18,,,"POS-VISA/PARK PLAZA
FARIDABAD/108216659509",,,,,,23/03/21,,,"10,000.00",,23/03/21 22:22,,"161,285.45Cr"
19,,,UPI/MOB/108222782527/Zomato payment,,,,,,23/03/21,,,"1,311.65",,23/03/21 22:36,,"159,973.80Cr"
20,,,UPI/MOB/108313945827/UPI,,,,,,24/03/21,,,500.00,,24/03/21 13:36,,"159,473.80Cr"
21,,,UPI/MOB/108318636603/Zomato payment,,,,,,24/03/21,,,589.50,,24/03/21 18:31,,"158,884.30Cr"
22,,,"UPI/MOB/108320013492/ZomatoOnlineOr
der",,,,,,24/03/21,,,189.95,,24/03/21 20:25,,"158,694.35Cr"
23,,,"UPI/MOB/108320138134/ZomatoOnlineOrd
er",,,,,,24/03/21,,,422.55,,24/03/21 20:29,,"158,271.80Cr"
0,24/03/21 23:09,24/03/21,"REF/POS-VISA/CITCO PETROL
ST/382671/220321",,,21.00,"158,292.80Cr",,,,,,,,,
1,24/03/21 23:32,24/03/21,UPI/MOB/108323016762/Zomato payment,,235.40,,"158,057.40Cr",,,,,,,,,
2,24/03/21 23:34,24/03/21,"UPI/MOB/108323030450/Zomato
payment",,364.00,,"157,693.40Cr",,,,,,,,,
3,25/03/21 12:28,25/03/21,"POS-VISA/PARK PLAZA
FARIDABAD/108406080873",,938.00,,"156,755.40Cr",,,,,,,,,
4,25/03/21 13:22,25/03/21,"ATM-NFS/CASH WITHDRAWAL/+3
COMMER/108413745331",,"3,000.00",,"153,755.40Cr",,,,,,,,,
5,25/03/21 15:19,25/03/21,"POS-VISA/M M FILLING
STATION/108409635011",,"1,500.00",,"152,255.40Cr",,,,,,,,,
6,25/03/21 16:58,25/03/21,"POS-VISA/DANA PANI
KARNAL/108411036410",,311.86,,"151,943.54Cr",,,,,,,,,
7,25/03/21 19:17,25/03/21,"POS-VISA/KRISHAN KUMAR
GARG/108419589593",,260.00,,"151,683.54Cr",,,,,,,,,
8,26/03/21 11:10,26/03/21,UPI/MOB/108511835204/Upi Transaction,,"1,000.00",,"150,683.54Cr",,,,,,,,,
9,26/03/21 18:54,26/03/21,"POS-VISA/UMBRELLA THE SUPER STOZIR
-ZIRA/1085135353",,"1,454.00",,"149,229.54Cr",,,,,,,,,
10,27/03/21 08:27,27/03/21,UPI/MOB/108608094936/UPI,,"1,000.00",,"148,229.54Cr",,,,,,,,,
11,27/03/21 10:30,27/03/21,UPI/MOB/108610398445/UPI,,"5,542.00",,"142,687.54Cr",,,,,,,,,
12,27/03/21 15:48,27/03/21,"UPI/MOB/108615017526/Dharamshala
payment",,,"5,600.00","148,287.54Cr",,,,,,,,,
13,27/03/21 18:09,27/03/21,"POS-VISA/CHANDEL FILLING
STATIOPARWANOO/1086189536",,500.00,,"147,787.54Cr",,,,,,,,,
14,27/03/21 22:10,27/03/21,"POS-VISA/HOTEL RAMADA
KASAULI/108616904316",,"6,000.00",,"141,787.54Cr",,,,,,,,,
15,28/03/21 08:44,28/03/21,UPI/MOB/108708637825/Upi Transaction,,"1,000.00",,"140,787.54Cr",,,,,,,,,
16,28/03/21 11:49,28/03/21,"POS-VISA/HOTEL RAMADA
KASAULI/108706101271",,"1,552.00",,"139,235.54Cr",,,,,,,,,
17,28/03/21 12:21,28/03/21,UPI/MOB/108712557279/UPI,,"2,850.00",,"136,385.54Cr",,,,,,,,,
18,28/03/21 13:02,28/03/21,UPI/MOB/108713601341/UPI,,60.00,,"136,325.54Cr",,,,,,,,,
19,28/03/21 16:31,28/03/21,"REF/POS-VISA/M M FILLING
STA/906656/250321",,,11.25,"136,336.79Cr",,,,,,,,,
20,28/03/21 18:40,28/03/21,UPI/MOB/108718932975/UPI,,20.00,,"136,316.79Cr",,,,,,,,,
21,28/03/21 19:25,28/03/21,UPI/MOB/108719144091/Zomato payment,,143.40,,"136,173.39Cr",,,,,,,,,
22,29/03/21 12:50,29/03/21,"IMPS-RIB/Fund Trf/108812252704/lav
gupta/157087803952INDB/",,"23,000.00",,"113,173.39Cr",,,,,,,,,
23,29/03/21 15:35,29/03/21,REF/POS-VISA/CHANDEL,,,3.75,"113,177.14Cr",,,,,,,,,
0,,,FILLING/324762/270321,,,,,,,,,,,,,
1,,,UPI/MOB/108818166143/UPI Transaction,,,,,,29/03/21,,,805.00,,29/03/21 18:32,,"112,372.14Cr"
2,,,"UPI/MOB/108908099188/BhartiAirtelServi
cesLimitedOR",,,,,,30/03/21,,,470.00,,30/03/21 08:33,,"111,902.14Cr"
3,,,UPI/MOB/108911599068/UPI,,,,,,30/03/21,,,"1,500.00",,30/03/21 11:04,,"110,402.14Cr"
4,,,UPI/MOB/108913429077/UPI,,,,,,30/03/21,,,300.00,,30/03/21 13:24,,"110,102.14Cr"
5,,,"POS-VISA/TRUCK SUPPLIERS CORPORPIN
-PINJ/1089138863",,,,,,30/03/21,,,500.00,,30/03/21 18:30,,"109,602.14Cr"
6,,,UPI/MOB/108919430157/UPI,,,,,,30/03/21,,,270.00,,30/03/21 19:42,,"109,332.14Cr"
7,,,"POS-VISA/ATO*RAJESH AND
CO/108919313626",,,,,,30/03/21,,,450.00,,30/03/21 19:48,,"108,882.14Cr"
8,,,UPI/MOB/108922498611/UPI,,,,,,30/03/21,,,850.00,,30/03/21 22:20,,"108,032.14Cr"
9,,,"ATM-NFS/CASH WITHDRAWAL/SBP
DHARA/108923030493",,,,,,30/03/21,,,"2,000.00",,30/03/21 23:03,,"106,032.14Cr"
10,,,UPI/MOB/109010336570/UPI,,,,,,31/03/21,,,840.00,,31/03/21 10:46,,"105,192.14Cr"
11,,,"IMPS-MOB/Fund
Trf/109015366699/34116625/15708780395
2/",,,,,,31/03/21,,,,"195,290.00",31/03/21 15:18,,"300,482.14Cr"
12,,,UPI/MOB/109017224431/UPI,,,,,,31/03/21,,,110.00,,31/03/21 17:28,,"300,372.14Cr"
13,,,UPI/MOB/109018563359/UPI,,,,,,31/03/21,,,368.00,,31/03/21 18:15,,"300,004.14Cr"
14,,,"POS-VISA/CHAWLA
COLLECTIONS/109018757252",,,,,,31/03/21,,,750.00,,31/03/21 18:26,,"299,254.14Cr"
15,,,UPI/MOB/109020902246/UPI,,,,,,31/03/21,,,150.00,,31/03/21 20:02,,"299,104.14Cr"
16,,,UPI/MOB/109021995677/UPI,,,,,,31/03/21,,,"1,500.00",,31/03/21 21:20,,"297,604.14Cr"
17,,,QUARTERLY SAVINGS INTEREST CREDIT,,,,,,31/03/21,,,,788.00,31/03/21 02:28,,"298,392.14Cr"
18,,,UPI/MOB/109111935704/UPI,,,,,,01/04/21,,,200.00,,01/04/21 11:24,,"298,192.14Cr"
19,,,UPI/MOB/109117363643/refund,,,,,,01/04/21,,,"25,000.00",,01/04/21 17:18,,"273,192.14Cr"
20,,,"IMPS-MOB/Fund
Trf/109117912176/34116625/157087803952
/",,,,,,01/04/21,,,,"25,000.00",01/04/21 17:20,,"298,192.14Cr"
21,,,UPI/MOB/109118557649/UPI,,,,,,01/04/21,,,1.00,,01/04/21 18:26,,"298,191.14Cr"
22,,,"REF/POS-VISA/HPCL 0.75%
CASH/786126/300321",,,,,,01/04/21,,,,3.75,01/04/21 18:32,,"298,194.89Cr"
23,,,"UPI/MOB/109119635249/ZomatoOnlineOrd
er",,,,,,01/04/21,,,322.00,,01/04/21 19:55,,"297,872.89Cr"
0,,,,,,,,,,,,,,,,
1,,,"POS-VISA/TRUCK SUPPLIERS
CORPORPINJORE /1005119705",,,,,,05/01/21,,,500.00,,05/01/21 16:59,,"49,489.24Cr"
2,,,"POS-VISA/RAJESH AND
CO/100512540203",,,,,,05/01/21,,,450.00,,05/01/21 17:38,,"49,039.24Cr"
3,,,"UPI/MOB/100519798007/UPI Transaction
for 74182821",,,,,,05/01/21,,,"3,933.00",,05/01/21 19:12,,"45,106.24Cr"
4,,,POS-VISA/THE UPPALS/100611251999,,,,,,06/01/21,,,"1,162.00",,06/01/21 11:52,,"43,944.24Cr"
5,,,"ATM-NFS/CASH
WITHDRAWAL/INDUSIND/100617014587",,,,,,06/01/21,,,"2,000.00",,06/01/21 17:47,,"41,944.24Cr"
6,,,"UPI/MOB/100618072351/ZomatoOnlineOr
der",,,,,,06/01/21,,,665.75,,06/01/21 18:29,,"41,278.49Cr"
7,,,UPI/MOB/100713731575/Upi Transaction,,,,,,07/01/21,,,"1,000.00",,07/01/21 13:00,,"40,278.49Cr"
8,,,"UPI/MOB/100720225764/Zomato
payment",,,,,,07/01/21,,,211.60,,07/01/21 20:29,,"40,066.89Cr"
9,,,"REF/POS-VISA/HPCL 0.75%
CASH/214716/050121",,,,,,07/01/21,,,,3.75,07/01/21 21:21,,"40,070.64Cr"
10,,,"POS-VISA/KRISHAN KUMAR
GARG/100818812829",,,,,,08/01/21,,,250.00,,08/01/21 18:03,,"39,820.64Cr"
11,,,"UPI/MOB/100820733670/Zomato
payment",,,,,,08/01/21,,,195.00,,08/01/21 20:35,,"39,625.64Cr"
12,,,"POS-VISA/KRISHAN KUMAR
GARG/100918509815",,,,,,09/01/21,,,250.00,,09/01/21 18:16,,"39,375.64Cr"
13,,,UPI/MOB/100918021838/UPI,,,,,,09/01/21,,,150.00,,09/01/21 18:20,,"39,225.64Cr"
14,,,UPI/MOB/101018805268/Zomato payment,,,,,,10/01/21,,,189.20,,10/01/21 18:16,,"39,036.44Cr"
15,,,"POS-VISA/KRISHAN KUMAR
GARG/101018221595",,,,,,10/01/21,,,250.00,,10/01/21 18:31,,"38,786.44Cr"
16,,,UPI/MOB/101019954455/Zomato payment,,,,,,10/01/21,,,355.60,,10/01/21 19:36,,"38,430.84Cr"
17,,,"UPI/MOB/101115879528/Vishal maldives
balance payme",,,,,,11/01/21,,,,"27,000.00",11/01/21 15:24,,"65,430.84Cr"
18,,,"POS-VISA/GOOGLE
ADWORDS/101112569299",,,,,,11/01/21,,,"1,000.00",,11/01/21 17:45,,"64,430.84Cr"
19,,,UPI/MOB/101118008266/UPI,,,,,,11/01/21,,,150.00,,11/01/21 18:20,,"64,280.84Cr"
20,,,"POS-VISA/KRISHAN KUMAR
GARG/101118847993",,,,,,11/01/21,,,300.00,,11/01/21 18:22,,"63,980.84Cr"
21,,,"IMPS-RIB/Fund Trf/101119611206/lav
gupta/157087803952INDB/",,,,,,11/01/21,,,"6,000.00",,11/01/21 19:59,,"57,980.84Cr"
22,,,"IMPS-RIB/Fund Trf/101120611546/lav
gupta/157087803952INDB/",,,,,,11/01/21,,,"1,000.00",,11/01/21 20:01,,"56,980.84Cr"
23,,,UPI/MOB/101120688400/UberRide,,,,,,11/01/21,,,90.00,,11/01/21 20:47,,"56,890.84Cr"
0,02/04/21 08:51,02/04/21,UPI/MOB/109208338082/Upi Transaction,,"1,500.00",,"296,372.89Cr",,,,,,,,,
1,02/04/21 12:54,02/04/21,FD 10068745645 booked via Net Banking,,"50,000.00",,"246,372.89Cr",,,,,,,,,
2,02/04/21 18:41,02/04/21,"ATM-NFS/CASH
WITHDRAWAL/INDUSIND/109218013198",,"6,000.00",,"240,372.89Cr",,,,,,,,,
3,02/04/21 20:27,02/04/21,"UPI/MOB/109220943550/Zomato
payment",,197.00,,"240,175.89Cr",,,,,,,,,
4,03/04/21 12:53,03/04/21,"POS-VISA/HPCL PETRO INDIA FILLIPAN-
PANC/1093071048",,"1,000.00",,"239,175.89Cr",,,,,,,,,
5,03/04/21 15:28,03/04/21,"IMPS-MOB/Fund
Trf/109315784177/34116625/15708780395
2/",,,"97,640.00","336,815.89Cr",,,,,,,,,
6,03/04/21 18:29,03/04/21,UPI/MOB/109318735527/UPI,,"1,000.00",,"335,815.89Cr",,,,,,,,,
7,03/04/21 19:57,03/04/21,UPI/MOB/109319755278/UberRide,,468.00,,"335,347.89Cr",,,,,,,,,
8,03/04/21 20:54,03/04/21,"ATM-NFS/CASH
WITHDRAWAL/INDUSIND/109320001856",,"10,000.00",,"325,347.89Cr",,,,,,,,,
9,03/04/21 22:23,03/04/21,"IMPS-MOB/Fund
Trf/109322948473/34116625/15708780395
2/",,,1.00,"325,348.89Cr",,,,,,,,,
10,03/04/21 22:40,03/04/21,"POS-VISA/GBS HOSPITALITY
PRIVATPANCHKUL/1093171613",,"6,002.00",,"319,346.89Cr",,,,,,,,,
11,03/04/21 22:52,03/04/21,"POS-VISA/JAI MATA
ENTERPRISES/109317505507",,700.00,,"318,646.89Cr",,,,,,,,,
12,03/04/21 23:05,03/04/21,"POS-VISA/TWENTY FOUR
SEVEN/109317387469",,969.00,,"317,677.89Cr",,,,,,,,,
13,03/04/21 23:37,03/04/21,UPI/MOB/109323010993/Zomato payment,,773.20,,"316,904.69Cr",,,,,,,,,
14,04/04/21 10:20,04/04/21,UPI/MOB/109410706392/UberRide,,110.00,,"316,794.69Cr",,,,,,,,,
15,04/04/21 10:46,04/04/21,UPI/MOB/109410325801/Zomato payment,,245.00,,"316,549.69Cr",,,,,,,,,
16,05/04/21 04:46,05/04/21,UPI/MOB/109504719760/hardik Mehta,,,"10,000.00","326,549.69Cr",,,,,,,,,
17,05/04/21 12:23,05/04/21,UPI/MOB/109512223744/Zomato payment,,254.99,,"326,294.70Cr",,,,,,,,,
18,05/04/21 12:54,05/04/21,UPI/MOB/109550776029/express,,,60.00,"326,354.70Cr",,,,,,,,,
19,05/04/21 16:24,05/04/21,"ATM-NFS/CASH
WITHDRAWAL/INDUSIND/109516008436",,"10,000.00",,"316,354.70Cr",,,,,,,,,
20,05/04/21 16:25,05/04/21,"ATM-NFS/CASH
WITHDRAWAL/INDUSIND/109516008731",,"10,000.00",,"306,354.70Cr",,,,,,,,,
21,05/04/21 16:26,05/04/21,"ATM-NFS/CASH
WITHDRAWAL/INDUSIND/109516009003",,"10,000.00",,"296,354.70Cr",,,,,,,,,
22,05/04/21 16:44,05/04/21,"IMPS-MOB/Fund
Trf/109516505753/34116625/15708780395
2/",,,"97,644.00","393,998.70Cr",,,,,,,,,
0,,,,,,,,,,,,,,,,
1,,,"REF/POS-VISA/HPCL 0.75%
CASH/500097/030421",,,,,,05/04/21,,,,7.50,05/04/21 17:26,,"394,006.20Cr"
2,,,UPI/MOB/109611222909/Upi Transaction,,,,,,06/04/21,,,"1,000.00",,06/04/21 11:20,,"393,006.20Cr"
3,,,"UPI/MOB/109616493447/Jass Lamba
deposit",,,,,,06/04/21,,,,"2,850.00",06/04/21 16:36,,"395,856.20Cr"
4,,,"POS-VISA/UMBRELLA THE SUPER STOZIR
-ZIRA/1096142809",,,,,,06/04/21,,,362.00,,06/04/21 20:00,,"395,494.20Cr"
5,,,"UPI/MOB/109620035804/ZomatoOnlineO
rder",,,,,,06/04/21,,,606.35,,06/04/21 20:20,,"394,887.85Cr"
6,,,"POS-VISA/PAYU-
payuindia.ads_preGurgaon /1097068720",,,,,,07/04/21,,,"1,000.00",,07/04/21 12:06,,"393,887.85Cr"
7,,,UPI/MOB/109713049379/UPI,,,,,,07/04/21,,,"2,936.00",,07/04/21 13:15,,"390,951.85Cr"
8,,,"POS-VISA/KRISHAN KUMAR
GARG/109718436643",,,,,,07/04/21,,,900.00,,07/04/21 18:27,,"390,051.85Cr"
9,,,POS-VISA/GOPALS/109713953343,,,,,,07/04/21,,,"1,240.00",,07/04/21 18:39,,"388,811.85Cr"
10,,,"POS-VISA/CHANDEL FILLING
STATIOPARWANOO/1097130042",,,,,,07/04/21,,,"1,000.00",,07/04/21 19:16,,"387,811.85Cr"
11,,,UPI/MOB/109723101400/UPI,,,,,,07/04/21,,,290.00,,07/04/21 23:04,,"387,521.85Cr"
12,,,UPI/MOB/109723115030/UPI,,,,,,07/04/21,,,100.00,,07/04/21 23:04,,"387,421.85Cr"
13,,,UPI/MOB/109810847398/UPI,,,,,,08/04/21,,,"1,300.00",,08/04/21 10:17,,"386,121.85Cr"
14,,,UPI/MOB/109910438906/UPI,,,,,,09/04/21,,,"1,000.00",,09/04/21 10:21,,"385,121.85Cr"
15,,,"POS-VISA/UMBRELLA THE SUPER STOZIR
-ZIRA/1099131490",,,,,,09/04/21,,,176.00,,09/04/21 18:42,,"384,945.85Cr"
16,,,"POS-VISA/KRISHAN KUMAR
GARG/109918801091",,,,,,09/04/21,,,230.00,,09/04/21 18:48,,"384,715.85Cr"
17,,,"POS-VISA/A AND K
ENTERPRISES/109917024738",,,,,,09/04/21,,,"2,332.00",,09/04/21 23:27,,"382,383.85Cr"
18,,,UPI/MOB/110011220123/UPI,,,,,,10/04/21,,,"1,000.00",,10/04/21 11:15,,"381,383.85Cr"
19,,,UPI/MOB/110011245223/UPI,,,,,,10/04/21,,,,3.00,10/04/21 11:16,,"381,386.85Cr"
20,,,"IMPS-RIB/Fund Trf/110011070766/lav
gupta/157087803952INDB/",,,,,,10/04/21,,,"8,000.00",,10/04/21 11:25,,"373,386.85Cr"
21,,,UPI/MOB/110012548020/UPI,,,,,,10/04/21,,,300.00,,10/04/21 12:37,,"373,086.85Cr"
22,,,"REF/POS-VISA/CHANDEL
FILLING/375166/070421",,,,,,10/04/21,,,,7.50,10/04/21 15:24,,"373,094.35Cr"
23,,,"ATM-NFS/CASH WITHDRAWAL/PEER
MUCH/110019001838",,,,,,10/04/21,,,"1,000.00",,10/04/21 19:10,,"372,094.35Cr"
0,,,,,,,,,,,,,,,,
1,,,"POS-VISA/KRISHAN KUMAR
GARG/110019481275",,,,,,10/04/21,,,250.00,,10/04/21 19:19,,"371,844.35Cr"
2,,,UPI/MOB/110110738652/Upi Transaction,,,,,,11/04/21,,,"1,000.00",,11/04/21 10:44,,"370,844.35Cr"
3,,,"UPI/MOB/110111003003/collect-pay-
request",,,,,,11/04/21,,,"12,439.00",,11/04/21 11:46,,"358,405.35Cr"
4,,,UPI/MOB/110114051782/leh,,,,,,11/04/21,,,,"27,439.00",11/04/21 14:36,,"385,844.35Cr"
5,,,"POS-VISA/KRISHAN KUMAR
GARG/110118075474",,,,,,11/04/21,,,250.00,,11/04/21 18:51,,"385,594.35Cr"
6,,,"UPI/MOB/110120439753/ZomatoOnlineOrd
er",,,,,,11/04/21,,,95.94,,11/04/21 20:20,,"385,498.41Cr"
7,,,"Charge:Cash Wdl at Other
ATM/Inv0603211322726641/30-MAR-2021",,,,,,12/04/21,,,20.00,,12/04/21 06:38,,"385,478.41Cr"
8,,,"CGST on Charge:Cash Wdl at Other
ATM/Inv0603211322726641/30-MAR-2021",,,,,,12/04/21,,,1.80,,12/04/21 06:38,,"385,476.61Cr"
9,,,"SGST on Charge:Cash Wdl at Other
ATM/Inv0603211322726641/30-MAR-2021",,,,,,12/04/21,,,1.80,,12/04/21 06:38,,"385,474.81Cr"
10,,,UPI/MOB/110211878429/UPI,,,,,,12/04/21,,,"1,000.00",,12/04/21 11:42,,"384,474.81Cr"
11,,,"POS-VISA/HPCL ADHOC TRUCK SUPP
PANCHKUL/1102115397",,,,,,12/04/21,,,992.50,,12/04/21 17:23,,"383,482.31Cr"
12,,,"POS-VISA/ATO*RAJESH AND
CO/110218701421",,,,,,12/04/21,,,450.00,,12/04/21 18:43,,"383,032.31Cr"
13,,,UPI/MOB/110218545395/UPI,,,,,,12/04/21,,,390.00,,12/04/21 18:46,,"382,642.31Cr"
14,,,UPI/MOB/110311037117/UPI,,,,,,13/04/21,,,"2,590.00",,13/04/21 11:01,,"380,052.31Cr"
15,,,UPI/MOB/110313088279/UPI,,,,,,13/04/21,,,37.00,,13/04/21 13:17,,"380,015.31Cr"
16,,,"ATM-NFS/CASH WITHDRAWAL/PEER
MUCH/110314019917",,,,,,13/04/21,,,"3,000.00",,13/04/21 14:51,,"377,015.31Cr"
17,,,"POS-VISA/KRISHAN KUMAR
GARG/110318392672",,,,,,13/04/21,,,450.00,,13/04/21 18:49,,"376,565.31Cr"
